Tijdstempel,What programme are you in?,,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,Number of neighbors sitting around you?,Did you stand up?,What is your stress level (0-100)?,stress_processed,money,Give a random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?,Good day 1,Good day 2,,,
4/5/2022 12:12:07,artificial intelligence,MSc Artificial Intelligence VU,yes,0,mu,nee,female,neither,02.05.1998,0,no,0,0,5,888,23:00,coffee,sun,coffee,weather,Add a column: # of troll answers,,
4/5/2022 12:12:07,big data,MSc Computer Science,yes,0,mu,nee,male,fat,29-02-2000,0,yes,200,200,1,12,32,7777,8964,troll,troll,,,
4/5/2022 12:12:09,Computational  Science,MSc Computational Science,yes,1,mu,ja,male,fat,29-06-1998,1,no,0,0,100,9,x,0,0,trool,troll,,,
4/5/2022 12:12:09,Bioinformatics and Systems Biology,MSc Bioinformatics and Systems Biology,yes,0,unknown,nee,male,neither,11/05/97,0,no,20,20,100,31,14:00,good food,no stress,food,relax,,,
4/5/2022 12:12:15,AI ,MSc Artificial Intelligence VU,yes,1,mu,ja,male,fat,03-10-1997,0,no,2,2,100,86,07:20,Sunshine,Good Food,weather,food,,,
4/5/2022 12:12:20,Artificial Intelligence,MSc Artificial Intelligence VU,no,unknown,sigma,unknown,female,fat,28,0,no,48,48,1000,87,2130,This lecture,Sun,work,weather,,food,
4/5/2022 12:12:26,Artificial Intelligence ,MSc Artificial Intelligence VU,yes,0,unknown,nee,male,neither,15.10.98,1,no,20,20,0.1,6,00:35,sunshine,happiness,weather,mood,,weather,
4/5/2022 12:12:29,M Artificial Intelligence,MSc Artificial Intelligence VU,yes,0,unknown,ja,male,neither,17 November,0,no,100,100,10,50,23,Rainy Day,Weekend,weather,relax,,coffee,
4/5/2022 12:12:29,FinTech,Duisenberg Honours Programme in Finance and Technology,yes,0,mu,ja,male,neither,1995,0,no,20,20,equally shared,42,23:00,Food,Relaxation,food,relax,,drugs,
4/5/2022 12:12:29,Artificial Intelligence,MSc Artificial Intelligence VU,no,0,mu,ja,female,fat,21-07-2000,5,yes,50,50,10,88,12 hours,"sun, friends and wine","relaxing, watching a show, hockey",weather,relax,,alcohol,
4/5/2022 12:12:31,Artificial Intelligence MsC,MSc Artificial Intelligence VU,no,0,mu,nee,male,I have no idea what you are talking about,29-05-1998,0,no,60,60,1000,1,Banana,Coffee,Not coffee,coffee,troll,,friends,
4/5/2022 12:12:32,Business analytics,MSc Business Analytics,yes,1,unknown,ja,female,fat,05-03,0,no,50,50,0.1,56,00:00,sun,holiday,weather,relax,,work,
4/5/2022 12:12:34,ai,MSc Artificial Intelligence VU,yes,1,mu,ja,male,I have no idea what you are talking about,102,0,no,5000,5000,100,7,to be?,drugs,beer,drugs,alcohol,,relax,
4/5/2022 12:12:36,programme?,troll,no,0,mu,nee,male,fat,19/10/1982,0,yes,65,65,100,8,00:00,Good sleep,Good work,sleep,work,,sleep,
4/5/2022 12:12:42,Masters in Artificial Intelligence,MSc Artificial Intelligence VU,yes,0,mu,ja,male,fat,22/02/1999,0,yes,70,70,100,420,12:00,Good mental state.,A challenge.,mood,work,,mood,
4/5/2022 12:12:50,Msc. Information Studies Data Science Track UVA ,MSc Information Studies Data Science Track UvA,yes,1,mu,ja,male,neither,23/7,troll,unknown,troll,troll,1000,42,4 years ago,6,9,trool,troll,,sport,
4/5/2022 12:12:51,Artificial Intelligence,MSc Artificial Intelligence VU,no,0,sigma,nee,male,slim,august,5,no,98,98,87,6,noon,food,sleeping,food,sleep,,sex,
4/5/2022 12:12:57,Artificial Intelligence,MSc Artificial Intelligence VU,no,unknown,mu,ja,female,fat,11-11-1999,0,no,34,34,5,88,12:55,Having a fun lecture,Hanging out with my friends,work,friends,,love,
4/5/2022 12:13:04,AI,MSc Artificial Intelligence VU,yes,0,mu,ja,male,fat,22-04-1994,1,no,70,70,equally shared,22,12,Flat white,sun,coffee,weather,,troll,
4/5/2022 12:13:08,Econometrics and Operational Research,MSc Econometrics and Operations Research,yes,0,mu,nee,male,fat,30.01.1997,0,no,15,15,0,17,12,food,tv series,food,relax,,"if many, what's said first",
4/5/2022 12:13:11,Finance and Technology,Duisenberg Honours Programme in Finance and TechnologyFinance and Technology,yes,0,mu,nee,male,I have no idea what you are talking about,1999/08/23,troll,yes,60,60,100,0,20:00,sun,good food,weather,food,,,
4/5/2022 12:13:14,Computer science,MSc Computer Science,yes,1,unknown,ja,female,I have no idea what you are talking about,10.07.1998,3,no,1000,1000,at least 10,12,definitely 7,sun,wind:(,weather,weather,,,
4/5/2022 12:13:15,AI,MSc Artificial Intelligence VU,unknown,0,mu,nee,female,fat,03-11-1995,0,unknown,10,10,100,800039995,03:00,Friends,Water,friends,food,,,
4/5/2022 12:13:15,AI,MSc Artificial Intelligence VU,yes,1,mu,ja,female,neither,08-05-1998,0,no,90,90,10,72,Ja,Happy,Faces,mood,friends,,,
4/5/2022 12:13:15,Bioinformatics and Systems Biology,MSc Bioinformatics and Systems Biology,yes,0,mu,ja,male,I have no idea what you are talking about,Ah,2,no,1,1,5,27,2.30AM,See you smile,Monk,mood,relax,,,
4/5/2022 12:13:16,Business Analytics,MSc Business Analytics,yes,unknown,mu,nee,female,fat,30-03-1998,0,no,70,70,55,31,Yellow,Having my favorite meal :),Getting enough sleep,food,sleep,,,
4/5/2022 12:13:16,Computational Science,MSc Computational Science,no,0,mu,ja,male,I have no idea what you are talking about,01-09-1998,1,no,56,56,troll,6.98,23:32,Head,Good weather,sex,weather,,,
4/5/2022 12:13:18,Computational Science,MSc Computational Science,yes,0,mu,nee,female,neither,07-09-1997,1,no,69,69,0,6,?,A good balance between productivity and rest,A good night of sleep,work,sleep,,,
4/5/2022 12:13:19,chrome,troll,yes,0,sigma,ja,female,fat,02/07/1997,2,yes,79,79,55,11,12,Movies,Coffee,relax,coffee,,,
4/5/2022 12:13:24,Computational Science,MSc Computational Science,no,0,mu,nee,male,I have no idea what you are talking about,19-06-1998,1,no,33,33,99,3.14,23.3,Good food,Good weather,food,weather,,,
4/5/2022 12:13:24,MSc Mathematics,MSc Mathematics,yes,0,mu,nee,female,I have no idea what you are talking about,26/08/97,2,no,80,80,30,32,12:30,Sunnnn,Croissant,weather,food,,,
4/5/2022 12:13:26,Artificial Intelligence,MSc Artificial Intelligence VU,yes,0,mu,nee,female,neither,1999,1,no,10,10,"0,5",1278946,90,alcohol,relax,alcohol,relax,,,
4/5/2022 12:13:26,Econometrics,MSc Econometrics and Operations Research,yes,0,mu,nee,male,I have no idea what you are talking about,1-1-1900,0,yes,100,100,1,651,23,Datamining,Datamining2,work,work,,,
4/5/2022 12:13:29,AI for health,MSc Artificial Intelligence VU,no,0,sigma,nee,female,neither,01/04/2022,troll,no,90,90,troll,24,5,food,sleep,food,sleep,,,
4/5/2022 12:13:34,AI,MSc Artificial Intelligence VU,no,0,sigma,ja,male,I have no idea what you are talking about,14.05.1996,5,no,70,70,20,2500,5,Weather,Beer,weather,alcohol,,,
4/5/2022 12:13:35,Data Mining techniques, -,yes,unknown,mu,nee,male,fat,"March 9, 1995",0,no,40,40,0,42,What?,Sex,Good food,sex,food,,,
