Index;name;album;artist;release_date;length;popularity;explicit;danceability;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;tempo;time_signature;key;mode;valence
0;Shape of You;÷ (Deluxe);Ed Sheeran;2017-03-03;233.712;89;False;0.825;0.581;0.825;0.652;0.0;0.0931;-3.183;0.0802;95.977;4;1;0;0.931
1;Blinding Lights;After Hours;The Weeknd;2020-03-20;200.04;95;False;0.514;0.00146;0.514;0.73;9.54e-05;0.0897;-5.934;0.0598;171.005;4;1;1;0.334
2;Dance Monkey;Dance Monkey;Tones And I;2019-05-10;209.754;68;False;0.826;0.688;0.826;0.593;0.000161;0.17;-6.401;0.0976;98.083;4;6;0;0.541
3;rockstar (feat. 21 Savage);beerbongs & bentleys;Post Malone;2018-04-27;218.146;88;True;0.585;0.124;0.585;0.52;7.01e-05;0.131;-6.136;0.0712;159.801;4;5;0;0.129
4;Someone You Loved;Divinely Uninspired To A Hellish Extent;Lewis Capaldi;2019-05-17;182.16;90;False;0.501;0.751;0.501;0.405;0.0;0.105;-5.679;0.0319;109.891;4;1;1;0.446
5;One Dance;Views;Drake;2016-05-13;173.986;2;False;0.792;0.00776;0.792;0.625;0.00188;0.329;-5.609;0.0536;103.967;4;1;1;0.37
6;Closer;Collage EP;The Chainsmokers;2016-11-04;245.506;57;False;0.738;0.415;0.738;0.541;0.0;0.11;-5.597;0.0303;94.949;4;8;1;0.657
7;Sunflower - Spider-Man: Into the Spider-Verse;Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture);Various Artists;2018-12-14;158.04;88;False;0.76;0.556;0.76;0.479;0.0;0.0703;-5.574;0.0466;89.911;4;2;1;0.913
8;Señorita;Shawn Mendes (Deluxe);Shawn Mendes;2019-06-19;190.799;83;False;0.759;0.0392;0.759;0.548;0.0;0.0828;-6.049;0.029;116.967;4;9;0;0.749
9;Believer;Evolve;Imagine Dragons;2017-06-23;204.346;0;False;0.772;0.0512;0.772;0.78;0.0;0.119;-4.288;0.108;124.988;4;10;0;0.719
10;bad guy;WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?;Billie Eilish;2019-03-29;194.087;88;False;0.701;0.328;0.701;0.425;0.13;0.1;-10.965;0.375;135.128;4;7;1;0.562
11;Perfect;÷ (Deluxe);Ed Sheeran;2017-03-03;263.4;90;False;0.599;0.163;0.599;0.448;0.0;0.106;-6.312;0.0232;95.05;3;8;1;0.168
12;Say You Won't Let Go;Back from the Edge;James Arthur;2016-10-28;211.466;88;False;0.358;0.695;0.358;0.557;0.0;0.0902;-7.398;0.059;85.043;4;10;1;0.494
13;Thinking out Loud;x (Deluxe Edition);Ed Sheeran;2014-06-21;281.56;86;False;0.781;0.474;0.781;0.445;0.0;0.184;-6.061;0.0295;78.998;4;2;1;0.591
14;God's Plan;Scorpion;Drake;2018-06-29;198.973;86;True;0.754;0.0332;0.754;0.449;8.29e-05;0.552;-9.211;0.109;77.169;4;7;1;0.357
15;Lucid Dreams;Goodbye & Good Riddance;Juice WRLD;2018-05-23;239.835;3;True;0.511;0.349;0.511;0.566;0.0;0.34;-7.23;0.2;83.903;4;6;0;0.218
16;Don't Start Now;Future Nostalgia;Dua Lipa;2020-03-27;183.29;86;False;0.793;0.0123;0.793;0.793;0.0;0.0951;-4.521;0.083;123.95;4;11;0;0.679
17;Photograph;x (Deluxe Edition);Ed Sheeran;2014-06-21;258.986;88;False;0.614;0.607;0.614;0.379;0.000464;0.0986;-10.48;0.0476;107.989;4;4;1;0.201
18;SAD!;?;XXXTENTACION;2018-03-16;166.605;88;True;0.74;0.258;0.74;0.613;0.00372;0.123;-4.88;0.145;75.023;4;8;1;0.473
19;Starboy;Starboy;The Weeknd;2016-11-25;230.453;88;True;0.679;0.141;0.679;0.587;6.35e-06;0.137;-7.015;0.276;186.003;4;7;1;0.486
20;Something Just Like This;Memories...Do Not Open;The Chainsmokers;2017-04-07;247.16;87;False;0.617;0.0498;0.617;0.635;1.44e-05;0.164;-6.769;0.0317;103.019;4;11;0;0.446
21;Shallow;A Star Is Born Soundtrack;Lady Gaga;2018-10-05;215.733;87;False;0.572;0.371;0.572;0.385;0.0;0.231;-6.362;0.0308;95.799;4;7;1;0.323
22;Love Yourself;Purpose (Deluxe);Justin Bieber;2015-11-13;233.72;87;False;0.609;0.835;0.609;0.378;0.0;0.28;-9.828;0.438;100.418;4;4;1;0.515
23;Bohemian Rhapsody - Remastered 2011;A Night At The Opera (Deluxe Remastered Version);Queen;1975-11-21;354.32;77;False;0.392;0.288;0.392;0.402;0.0;0.243;-9.961;0.0536;143.883;4;0;0;0.228
24;Havana (feat. Young Thug);Camila;Camila Cabello;2018-01-12;217.306;84;False;0.765;0.184;0.765;0.523;3.56e-05;0.132;-4.333;0.03;104.988;4;2;1;0.394
25;lovely (with Khalid);lovely (with Khalid);Billie Eilish;2018-04-19;200.185;91;False;0.351;0.934;0.351;0.296;0.0;0.095;-10.109;0.0333;115.284;4;4;0;0.12
26;All of Me;Love In The Future (Expanded Edition);John Legend;2013-08-30;269.56;89;False;0.422;0.922;0.422;0.264;0.0;0.132;-7.064;0.0322;119.93;4;8;1;0.331
27;Thunder;Evolve;Imagine Dragons;2017-06-23;187.146;0;False;0.604;0.00782;0.604;0.826;0.15;0.154;-4.804;0.0434;167.985;4;0;1;0.241
28;7 rings;thank u, next;Ariana Grande;2019-02-08;178.626;88;True;0.778;0.592;0.778;0.317;0.0;0.0881;-10.732;0.334;140.048;4;1;0;0.327
29;Take Me to Church;Hozier;Hozier;2014-10-07;241.693;66;False;0.575;0.637;0.575;0.664;0.0;0.116;-5.303;0.0481;129.07;4;4;0;0.437
30;Circles;Hollywood's Bleeding;Post Malone;2019-09-06;215.28;90;False;0.695;0.192;0.695;0.762;0.00244;0.0863;-3.497;0.0395;120.042;4;0;1;0.553
31;Jocelyn Flores;17;XXXTENTACION;2017-08-25;119.133;89;True;0.872;0.469;0.872;0.391;4.13e-06;0.297;-9.144;0.242;134.021;4;0;0;0.437
32;goosebumps;Birds In The Trap Sing McKnight;Travis Scott;2016-09-16;243.836;89;True;0.841;0.0847;0.841;0.728;0.0;0.149;-3.37;0.0484;130.049;4;7;1;0.43
33;XO Tour Llif3;Luv Is Rage 2;Lil Uzi Vert;2017-08-25;182.706;87;True;0.732;0.00264;0.732;0.75;0.0;0.109;-6.366;0.231;155.096;4;11;0;0.401
34;New Rules;Dua Lipa (Deluxe);Dua Lipa;2017-06-02;209.32;84;False;0.762;0.00261;0.762;0.7;1.56e-05;0.153;-6.021;0.0694;116.073;4;9;0;0.608
35;Watermelon Sugar;Fine Line;Harry Styles;2019-12-13;174.0;91;False;0.548;0.122;0.548;0.816;0.0;0.335;-4.209;0.0465;95.39;4;0;1;0.557
36;Happier;Happier;Marshmello;2018-08-17;214.289;87;False;0.687;0.191;0.687;0.792;0.0;0.167;-2.749;0.0452;100.015;4;5;1;0.671
37;SICKO MODE;ASTROWORLD;Travis Scott;2018-08-03;312.82;86;True;0.834;0.00513;0.834;0.73;0.0;0.124;-3.714;0.222;155.008;4;8;1;0.446
38;Stressed Out;Blurryface;Twenty One Pilots;2015-05-15;202.333;88;False;0.734;0.0462;0.734;0.637;2.29e-05;0.0602;-5.677;0.141;169.977;4;4;0;0.648
39;Lean On (feat. MØ & DJ Snake);Peace Is The Mission;Major Lazer;2015-06-01;176.561;0;False;0.723;0.00346;0.723;0.809;0.00123;0.565;-3.081;0.0625;98.007;4;7;0;0.274
40;Sorry;Purpose (Deluxe);Justin Bieber;2015-11-13;200.786;85;False;0.654;0.0797;0.654;0.76;0.0;0.299;-3.669;0.045;99.945;4;0;0;0.41
41;HUMBLE.;DAMN.;Kendrick Lamar;2017-04-14;177.0;87;True;0.908;0.000282;0.908;0.621;5.39e-05;0.0958;-6.638;0.102;150.011;4;1;0;0.421
42;STAY (with Justin Bieber);F*CK LOVE 3: OVER YOU;The Kid LAROI;2021-07-23;141.805;93;True;0.591;0.0383;0.591;0.764;0.0;0.103;-5.484;0.0483;169.928;4;1;1;0.478
43;Let Her Go;All the Little Lights;Passenger;2012-06-29;252.733;0;False;0.479;0.365;0.479;0.545;0.0;0.0963;-7.346;0.0688;74.897;4;7;1;0.244
44;Better Now;beerbongs & bentleys;Post Malone;2018-04-27;231.266;85;True;0.68;0.331;0.68;0.578;0.0;0.135;-5.804;0.04;145.038;4;10;1;0.341
45;Roses - Imanbek Remix;Roses (Imanbek Remix);SAINt JHN;2019-09-13;176.218;2;True;0.785;0.0149;0.785;0.721;0.00432;0.285;-5.457;0.0506;121.962;4;8;1;0.894
46;Let Me Love You;Encore;DJ Snake;2016-08-05;205.946;86;False;0.649;0.0863;0.649;0.716;2.63e-05;0.135;-5.371;0.0349;99.988;4;8;1;0.163
47;Faded;Faded;Alan Walker;2015-12-04;212.626;76;False;0.589;0.0291;0.589;0.651;3.2e-06;0.111;-5.097;0.0306;90.011;4;6;1;0.166
48;Don't Let Me Down;Collage EP;The Chainsmokers;2016-11-04;208.666;57;False;0.534;0.187;0.534;0.868;0.0032;0.148;-5.057;0.205;159.763;4;11;1;0.406
49;Congratulations;Stoney (Deluxe);Post Malone;2016-12-09;220.293;86;True;0.63;0.215;0.63;0.804;0.0;0.253;-4.183;0.0363;123.146;4;6;1;0.492
50;Despacito - Remix;Despacito Feat. Justin Bieber (Remix);Luis Fonsi;2017-04-17;228.826;76;False;0.653;0.228;0.653;0.816;0.0;0.0967;-4.353;0.167;178.085;4;2;1;0.816
51;Wake Me Up;Wake Me Up;Avicii;2013-07-30;249.693;55;False;0.516;0.00389;0.516;0.806;0.000674;0.115;-5.133;0.0538;124.118;4;2;1;0.577
52;I Took A Pill In Ibiza - Seeb Remix;At Night, Alone.;Mike Posner;2016-05-06;197.933;76;True;0.664;0.0353;0.664;0.714;8.42e-06;0.0843;-6.645;0.111;101.969;4;7;0;0.71
53;Stay With Me;In The Lonely Hour;Sam Smith;2014-05-26;172.723;85;False;0.418;0.588;0.418;0.42;6.39e-05;0.11;-6.444;0.0414;84.094;4;0;1;0.184
54;Counting Stars;Native (Deluxe);OneRepublic;2013-03-26;257.279;0;False;0.663;0.0649;0.663;0.712;0.0;0.119;-4.945;0.0381;122.014;4;1;0;0.48
55;I Don't Care (with Justin Bieber);No.6 Collaborations Project;Ed Sheeran;2019-07-12;219.946;78;False;0.798;0.0902;0.798;0.676;0.0;0.0894;-5.041;0.0442;101.956;4;6;1;0.843
56;Treat You Better;Illuminate (Deluxe);Shawn Mendes;2016-09-23;187.973;0;False;0.455;0.132;0.455;0.797;0.0;0.11;-4.133;0.36;165.717;4;10;0;0.757
57;thank u, next;thank u, next;Ariana Grande;2019-02-08;207.32;85;True;0.717;0.229;0.717;0.653;0.0;0.101;-5.634;0.0658;106.966;4;1;1;0.412
58;Without Me;Manic;Halsey;2020-01-17;201.66;82;True;0.752;0.297;0.752;0.488;9.11e-06;0.0936;-7.05;0.0705;136.041;4;6;1;0.533
59;Uptown Funk (feat. Bruno Mars);Uptown Special;Mark Ronson;2015-01-12;269.666;86;True;0.856;0.00801;0.856;0.609;8.15e-05;0.0344;-7.223;0.0824;114.988;4;0;1;0.928
60;Riptide;Dream Your Life Away (Special Edition);Vance Joy;2014-09-09;204.28;83;False;0.484;0.431;0.484;0.731;0.0;0.151;-6.694;0.0379;101.654;4;1;1;0.51
61;The Hills;Beauty Behind The Madness;The Weeknd;2015-08-28;242.253;0;True;0.356;0.0861;0.356;0.567;0.0;0.137;-7.011;0.0798;135.553;5;0;0;0.109
62;Can't Hold Us (feat. Ray Dalton);The Heist;Macklemore & Ryan Lewis;2012-10-09;258.342;86;False;0.641;0.0291;0.641;0.922;0.0;0.0862;-4.457;0.0786;146.078;4;2;1;0.847
63;Too Good At Goodbyes;The Thrill Of It All (Special Edition);Sam Smith;2017-11-03;201.0;78;False;0.681;0.64;0.681;0.372;0.0;0.169;-8.237;0.0432;91.873;4;5;1;0.476
64;Unforgettable;Jungle Rules;French Montana;2017-07-14;233.901;86;True;0.726;0.0293;0.726;0.769;0.0101;0.104;-5.043;0.123;97.985;4;6;1;0.733
65;The Box;Please Excuse Me for Being Antisocial;Roddy Ricch;2019-12-06;196.652;86;True;0.896;0.104;0.896;0.586;0.0;0.79;-6.687;0.0559;116.971;4;10;0;0.642
66;Stitches;Handwritten;Shawn Mendes;2015-04-14;206.88;83;False;0.746;0.0152;0.746;0.754;0.0;0.0486;-6.684;0.0676;149.882;4;1;1;0.746
67;Moonlight;?;XXXTENTACION;2018-03-16;135.09;87;True;0.921;0.556;0.921;0.537;0.00404;0.102;-5.723;0.0804;128.009;4;9;0;0.711
68;Memories;Memories;Maroon 5;2019-09-20;189.486;37;False;0.764;0.837;0.764;0.32;0.0;0.0822;-7.209;0.0546;91.019;4;11;1;0.575
69;Cheap Thrills;This Is Acting;Sia;2016-01-29;211.666;81;False;0.628;0.0472;0.628;0.698;0.00143;0.0907;-5.608;0.105;89.976;4;6;0;0.732
70;Mood (feat. iann dior);Mood (feat. iann dior);24kGoldn;2020-07-24;140.525;17;True;0.7;0.221;0.7;0.722;0.0;0.272;-3.558;0.0369;90.989;4;7;0;0.756
71;Girls Like You (feat. Cardi B) - Cardi B Version;Red Pill Blues (Deluxe);Maroon 5;2018-06-15;235.545;70;True;0.851;0.568;0.851;0.541;0.0;0.13;-6.825;0.0505;124.959;4;0;1;0.448
72;Demons;Night Visions;Imagine Dragons;2012-09-04;175.2;78;False;0.505;0.19;0.505;0.71;0.00025;0.329;-3.015;0.0321;89.938;4;3;1;0.428
73;That's What I Like;24K Magic;Bruno Mars;2016-11-17;206.693;87;False;0.853;0.013;0.853;0.56;0.0;0.0944;-4.961;0.0406;134.066;4;1;1;0.86
74;7 Years;Lukas Graham;Lukas Graham;2016-04-01;237.3;83;False;0.765;0.287;0.765;0.473;0.0;0.391;-5.829;0.0514;119.992;4;10;1;0.34
75;ROCKSTAR (feat. Roddy Ricch);BLAME IT ON BABY;DaBaby;2020-04-17;181.733;86;True;0.746;0.247;0.746;0.69;0.0;0.101;-7.956;0.164;89.977;4;11;1;0.497
76;Mr. Brightside;Hot Fuss;The Killers;2004-06-15;222.586;79;False;0.356;0.00101;0.356;0.924;0.0;0.0953;-3.74;0.0808;148.017;4;1;1;0.232
77;Despacito;VIDA;Luis Fonsi;2019-02-01;229.36;83;False;0.655;0.198;0.655;0.797;0.0;0.067;-4.787;0.153;177.928;4;2;1;0.839
78;Sweater Weather;I Love You.;The Neighbourhood;2013-04-19;240.4;94;False;0.612;0.0495;0.612;0.807;0.0177;0.101;-2.81;0.0336;124.053;4;10;1;0.398
79;I Like Me Better;I met you when I was 18. (the playlist);Lauv;2018-05-31;197.436;86;False;0.752;0.535;0.752;0.505;2.55e-06;0.104;-7.621;0.253;91.97;4;9;1;0.419
80;See You Again (feat. Charlie Puth);See You Again (feat. Charlie Puth);Wiz Khalifa;2015-03-10;229.525;0;False;0.689;0.369;0.689;0.481;1.03e-06;0.0649;-7.503;0.0815;80.025;4;10;1;0.283
81;Wonderwall - Remastered;(What's The Story) Morning Glory? (Deluxe Edition) [Remastered];Oasis;1995-10-02;258.732;3;False;0.372;0.000453;0.372;0.865;0.0;0.234;-4.918;0.0381;174.53;4;2;1;0.478
82;I Like It;Invasion of Privacy;Cardi B;2018-04-06;253.39;84;True;0.816;0.099;0.816;0.726;0.0;0.372;-3.998;0.129;136.048;4;5;0;0.65
83;"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")";TROLLS (Original Motion Picture Soundtrack);Trolls;2016-09-23;237.546;77;False;0.669;0.0106;0.669;0.832;0.0;0.0968;-5.721;0.0682;113.035;4;0;1;0.7
84;"Lose Yourself - From ""8 Mile"" Soundtrack";Curtain Call: The Hits (Deluxe Edition);Eminem;2005-12-06;326.466;81;True;0.692;0.00868;0.692;0.744;0.000423;0.359;-4.565;0.257;171.374;4;2;1;0.0612
85;drivers license;SOUR;Olivia Rodrigo;2021-05-21;242.013;93;True;0.561;0.768;0.561;0.431;1.42e-05;0.106;-8.81;0.0578;143.875;4;10;1;0.137
86;Heat Waves;Dreamland (+ Bonus Levels);Glass Animals;2020-08-06;238.805;96;False;0.761;0.44;0.761;0.525;6.7e-06;0.0921;-6.9;0.0944;80.87;4;11;1;0.531
87;Heathens;Heathens;Twenty One Pilots;2016-06-16;195.92;85;False;0.732;0.0841;0.732;0.396;3.58e-05;0.105;-9.348;0.0286;90.024;4;4;0;0.548
